"year","category","catval","percentile","wealth","ss","income"
2015,"age","3",100,20402161.56,52907.84,1637830.87
2015,"age","4",1,-1606.4,0,-71.87
2015,"age","4",2,-1205,0,2457.36
2015,"age","4",3,-1011.79,0,5777.32
2015,"age","4",4,-759.82,0,7540.53
2015,"age","4",5,-453.73,0,8896.6
2015,"age","4",6,-85.13,0,9458.13
2015,"age","4",7,-8.47,0,9948.36
2015,"age","4",8,0,2816.07,10659.98
2015,"age","4",9,7.69,4784.89,11115.79
2015,"age","4",10,70.98,5898.3,11988.71
2015,"age","4",11,188.97,6569.87,12682.18
2015,"age","4",12,421.64,6885.73,13103.15
2015,"age","4",13,842.65,7431.21,13590.8
2015,"age","4",14,1205.05,8070.7,14656.92
2015,"age","4",15,1508.69,8589.91,15542.16
2015,"age","4",16,1808.44,8897.7,16161.66
2015,"age","4",17,2116.19,9399.3,16890.21
2015,"age","4",18,2594.65,9697.43,17775.69
2015,"age","4",19,3064.92,10077.97,18608.62
2015,"age","4",20,3806.56,10380.15,19249.54
2015,"age","4",21,4315.7,10609.9,19860.12
2015,"age","4",22,4805.18,10935,20539.85
2015,"age","4",23,5635.15,11184,21212.07
2015,"age","4",24,6171,11459.41,21863.38
2015,"age","4",25,6613.83,11819.61,22420.48
2015,"age","4",26,7264.66,12111.6,23080.08
2015,"age","4",27,7893.77,12439.4,23644.33
2015,"age","4",28,8631.77,12616.39,24302
2015,"age","4",29,9224.34,12869.23,24985.08
2015,"age","4",30,9828.37,13211.73,25458.2
2015,"age","4",31,10643.64,13435.2,26209.05
2015,"age","4",32,11329.25,13754.67,27109.43
2015,"age","4",33,12303.45,14001.6,27719.99
2015,"age","4",34,13352.74,14167.2,28411.8
2015,"age","4",35,14506.37,14286.29,28881.13
2015,"age","4",36,15407.38,14548.51,29484.32
2015,"age","4",37,17150.48,14801.56,30495.91
2015,"age","4",38,18648.76,15032.51,31052.41
2015,"age","4",39,19524.07,15203.26,31799.53
2015,"age","4",40,20520.19,15371.33,32485.32
2015,"age","4",41,22075.21,15606.95,33466.06
2015,"age","4",42,23728.38,15779.07,34409.62
2015,"age","4",43,25556.53,15937.16,35265.6
2015,"age","4",44,26945.56,16094.74,35972.33
2015,"age","4",45,28456.88,16270.11,36946.66
2015,"age","4",46,30493.28,16512.6,37575.57
2015,"age","4",47,32690.66,16710.09,38016.42
2015,"age","4",48,34847.33,16854.99,38936.1
2015,"age","4",49,37587.04,17008.4,40101.02
2015,"age","4",50,39255.69,17168.24,40674.48
2015,"age","4",51,41849.61,17429.88,41681.55
2015,"age","4",52,44359.04,17612.66,42626.72
2015,"age","4",53,47616.93,17794.5,43397.82
2015,"age","4",54,51907.18,17936.7,44404.9
2015,"age","4",55,55294.45,18068.58,45559.89
2015,"age","4",56,58036.7,18247.77,46506.31
2015,"age","4",57,61267.45,18464.4,47835.16
2015,"age","4",58,66134.23,18646.35,49181.87
2015,"age","4",59,70714.71,18754.8,50499.36
2015,"age","4",60,73306.49,18906,51595.1
2015,"age","4",61,77982.88,19050.5,52917.8
2015,"age","4",62,83408.5,19212,54430.68
2015,"age","4",63,89395.28,19365.5,55737.45
2015,"age","4",64,95874.27,19549.22,56685.53
2015,"age","4",65,100615.32,19677.54,58072.29
2015,"age","4",66,104894.1,19828.09,59095.78
2015,"age","4",67,109449.15,20011.2,60668.65
2015,"age","4",68,115893.51,20154,61681.23
2015,"age","4",69,122615.9,20407.36,63818.54
2015,"age","4",70,130491.51,20550.42,65439.44
2015,"age","4",71,137796.01,20721.6,67010.16
2015,"age","4",72,149357.43,20883.73,69014.57
2015,"age","4",73,165634.84,21017.17,70241.91
2015,"age","4",74,179453.01,21123.01,72200.63
2015,"age","4",75,196063.99,21375.6,74073.48
2015,"age","4",76,207684.4,21520.06,76233.63
2015,"age","4",77,229200.87,21763.62,77876.06
2015,"age","4",78,244798.02,21919.29,79972.22
2015,"age","4",79,260932.95,22043.76,83660.08
2015,"age","4",80,290624.08,22230.3,86308.45
2015,"age","4",81,317627.6,22442.53,88349.81
2015,"age","4",82,346813,22720.04,93047.87
2015,"age","4",83,371172.04,22963.2,96553.95
2015,"age","4",84,396341.05,23261.52,99975.01
2015,"age","4",85,427466.31,23733.89,103866.46
2015,"age","4",86,460329.22,24039.26,110625.85
2015,"age","4",87,493232.59,24280.41,113634
2015,"age","4",88,542912.87,24744.82,121802.06
2015,"age","4",89,597947.19,24973.77,130079.64
2015,"age","4",90,665562.52,25305.66,138844.19
2015,"age","4",91,784939.96,25687.02,147280.87
2015,"age","4",92,896185.99,26057.99,159122.32
2015,"age","4",93,1043335.92,26652.6,175623.45
