"year","category","catval","percentile","wealth","ss","income"
2015,"age","5",10,104.2,5003.09,10766
2015,"age","5",11,221.34,5813.53,11154.96
2015,"age","5",12,385.29,6249.6,11905.92
2015,"age","5",13,531.96,6713.4,12520.59
2015,"age","5",14,700.73,7028.16,13113.67
2015,"age","5",15,882.81,7406.76,13809.35
2015,"age","5",16,1066.19,7714.08,14221.51
2015,"age","5",17,1357.21,8009.28,14595.6
2015,"age","5",18,1618.54,8287.23,15241.44
2015,"age","5",19,1913.77,8597.31,15913.41
2015,"age","5",20,2182.3,8953.17,16234.63
2015,"age","5",21,2559.94,9135.97,16588.09
2015,"age","5",22,2962.86,9418.94,16995.62
2015,"age","5",23,3352.26,9616.85,17528.71
2015,"age","5",24,3835.7,9904.02,18114.27
2015,"age","5",25,4175.46,10210.9,18541.13
2015,"age","5",26,4454.04,10502.81,18863.84
2015,"age","5",27,4971.89,10737.42,19226.88
2015,"age","5",28,5516.7,10978.44,19646.36
2015,"age","5",29,6140.87,11183.28,20063.93
2015,"age","5",30,6551,11358.88,20488.46
2015,"age","5",31,7146.95,11540.4,21038.16
2015,"age","5",32,7824.07,11717,21473.12
2015,"age","5",33,8417.83,11853.53,21905.96
2015,"age","5",34,8939.65,12004.64,22229.78
2015,"age","5",35,9763.33,12168.09,22738.22
2015,"age","5",36,10503.14,12344.2,23063.79
2015,"age","5",37,11190.97,12520.31,23613.5
2015,"age","5",38,12259.59,12650.22,24023.82
2015,"age","5",39,13063.56,12752.33,24343.11
2015,"age","5",40,13744.81,12856.82,24882
2015,"age","5",41,14249.52,13038.4,25341.71
2015,"age","5",42,15279.83,13125.84,25864.39
2015,"age","5",43,16215.48,13239.27,26329.97
2015,"age","5",44,17127.33,13396.07,26810.75
2015,"age","5",45,18213.22,13511.52,27293.06
2015,"age","5",46,19212.98,13617.15,27825.28
2015,"age","5",47,20362.82,13761.47,28302.94
2015,"age","5",48,21467.8,13925.34,28798
2015,"age","5",49,22779.67,14104.53,29517.25
2015,"age","5",50,24223,14257.14,30397.04
2015,"age","5",51,25711.62,14404.51,30971.47
2015,"age","5",52,27599.31,14593.2,31619.53
2015,"age","5",53,28990.33,14697.54,32218.31
2015,"age","5",54,31011.4,14843.55,32729.62
2015,"age","5",55,33518.54,14947.84,33595.12
2015,"age","5",56,36049.67,15084.83,34388.54
2015,"age","5",57,38056.85,15175.68,35025.27
2015,"age","5",58,40382.88,15315.65,35628.66
2015,"age","5",59,42913.5,15477.66,36272.21
2015,"age","5",60,46825.59,15596.46,37471.27
2015,"age","5",61,49466.77,15698.4,38335.08
2015,"age","5",62,51786.02,15776.4,39065.41
2015,"age","5",63,55083.05,15919.07,39638.22
2015,"age","5",64,58555.65,16043.45,40778.12
2015,"age","5",65,61364.84,16185.43,41632.49
2015,"age","5",66,64989.56,16315.29,42311.41
2015,"age","5",67,67885.35,16449.84,43006.56
2015,"age","5",68,71861.34,16569.63,43861.83
2015,"age","5",69,75971.13,16698.2,44590.64
2015,"age","5",70,78815.52,16821.93,45607.14
2015,"age","5",71,81522.23,16959.54,47455.04
2015,"age","5",72,85671.13,17109.95,48734.74
2015,"age","5",73,89861.86,17248.97,49879.24
2015,"age","5",74,94454.37,17408.4,51078.44
2015,"age","5",75,100684.68,17560.06,52317.47
2015,"age","5",76,105952.55,17643.34,53816.66
2015,"age","5",77,112409.97,17799.96,55620.5
2015,"age","5",78,119803.5,17955.1,57537.81
2015,"age","5",79,124941.85,18117.54,59280
2015,"age","5",80,132493.96,18286.8,61312
2015,"age","5",81,139264.39,18411.34,62928.64
2015,"age","5",82,148985.2,18543.54,65112.41
2015,"age","5",83,155734.65,18696,67532.38
2015,"age","5",84,166539.02,18877.2,69247.6
2015,"age","5",85,182276.89,19108.98,72356.89
2015,"age","5",86,197790.82,19302,74655.62
2015,"age","5",87,211416.07,19460.4,78468.26
2015,"age","5",88,232441.62,19724.4,80425.92
2015,"age","5",89,252195.76,20059.2,84175.42
2015,"age","5",90,271861.92,20416.32,87137.64
2015,"age","5",91,305354.63,20790.69,92084.67
2015,"age","5",92,345423.09,21193.2,99412.68
2015,"age","5",93,385206.21,21722.58,109961.2
2015,"age","5",94,460303.3,22111.92,122705.1
2015,"age","5",95,537482.3,22973.33,136870.94
2015,"age","5",96,632478.7,23919.54,152371.06
2015,"age","5",97,773017.48,25287.84,172798.78
2015,"age","5",98,930383.88,27123.96,203448.92
2015,"age","5",99,1698862.6,29291.34,291614
2015,"age","5",100,18556559.14,49881.46,2786292.16
2015,"education","1",1,-1431.62,0,-71.75
2015,"education","1",2,-1041.57,0,-53.12
2015,"education","1",3,-981.17,0,-41.85
2015,"education","1",4,-981.17,0,821.62
2015,"education","1",5,-981.17,0,1687.44
2015,"education","1",6,-981.17,0,2961.58
2015,"education","1",7,-981.17,0,3871.05
2015,"education","1",8,-973.05,0,4915.11
2015,"education","1",9,-901.81,0,5726.82
2015,"education","1",10,-828.9,0,6222.68
2015,"education","1",11,-759.92,0,6665.79
2015,"education","1",12,-639.75,0,7043.78
2015,"education","1",13,-509.96,0,7333.83
2015,"education","1",14,-431.8,0,7800.98
2015,"education","1",15,-301.58,0,8102.37
2015,"education","1",16,-175.78,0,8405.36
2015,"education","1",17,-79.32,0,8667.08
2015,"education","1",18,-33.69,0,8867.42
2015,"education","1",19,-1.36,965.5,8932.03
2015,"education","1",20,0,1882.79,9086.44
2015,"education","1",21,18.62,2382.8,9279.54
2015,"education","1",22,99.95,2800.2,9505.3
2015,"education","1",23,186.58,3475.11,9760.82
2015,"education","1",24,311.67,3808.72,9950.68
2015,"education","1",25,400.37,4167.36,10336.16
2015,"education","1",26,525.89,4532.79,10624.86
2015,"education","1",27,630.52,4885.63,10760.75
2015,"education","1",28,781.24,5254.8,10943.94
2015,"education","1",29,906.62,5497.41,11126.28
2015,"education","1",30,1066.19,5754.53,11334.35
2015,"education","1",31,1175.93,6005,11585.59
2015,"education","1",32,1355.91,6164.43,11970.33
2015,"education","1",33,1493.9,6436.8,12352.89
2015,"education","1",34,1661.16,6694.59,12537.51
2015,"education","1",35,1841.18,6889.98,12806.12
2015,"education","1",36,2054.08,7055.26,13083.87
2015,"education","1",37,2287.78,7237.39,13508.89
2015,"education","1",38,2497.9,7458.6,13859.56
2015,"education","1",39,2707.79,7632.56,14138.38
2015,"education","1",40,2943.59,7803.25,14400.46
2015,"education","1",41,3158.03,8002.91,14692.51
2015,"education","1",42,3424.81,8141.72,15131.58
2015,"education","1",43,3723.06,8381.34,15446.42
2015,"education","1",44,3953.74,8568.1,15727.2
2015,"education","1",45,4209.06,8787.32,15930.78
2015,"education","1",46,4492.57,8984.4,16254.86
2015,"education","1",47,4859.27,9140.4,16507.43
2015,"education","1",48,5092.89,9300,16730.66
2015,"education","1",49,5459.56,9517.37,17147.02
2015,"education","1",50,5828.15,9746.4,17451.19
2015,"education","1",51,6258.52,9984.7,17837.21
2015,"education","1",52,6595.33,10116.54,18202.77
2015,"education","1",53,7025.39,10317.6,18602.71
2015,"education","1",54,7346.55,10496.93,19009.86
2015,"education","1",55,7891.44,10685.38,19265.36
2015,"education","1",56,8284.67,10860,19738.82
2015,"education","1",57,8760.01,11037.6,20252.34
2015,"education","1",58,9182.15,11189.17,20562.52
2015,"education","1",59,9919.86,11300.08,21038.16
2015,"education","1",60,10616.19,11537.07,21401.15
2015,"education","1",61,11169.67,11674.8,21852.79
2015,"education","1",62,11914,11836.26,22245.15
2015,"education","1",63,12853.42,12040.8,22647.03
2015,"education","1",64,13342.08,12217.55,23021.73
2015,"education","1",65,14587.5,12432.53,23361.49
2015,"education","1",66,15567.34,12633.08,23943.7
2015,"education","1",67,16403.55,12787.83,24391.36
